[02:37:27] [main/ERROR]: Failed to load properties from file: server.properties
[02:37:28] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[02:37:29] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[02:37:29] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:37:29] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:37:29] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[02:37:29] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:37:29] [main/INFO]: Reloading ResourceManager: Default
[02:37:31] [Worker-Main-2/INFO]: Loaded 7 recipes
[02:37:32] [Worker-Main-2/INFO]: Loaded 927 advancements
[02:37:34] [Server thread/INFO]: Starting minecraft server version 1.16.5
[02:37:34] [Server thread/INFO]: Loading properties
[02:37:34] [Server thread/INFO]: Default game type: SURVIVAL
[02:37:34] [Server thread/INFO]: Generating keypair
[02:37:35] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:37:35] [Server thread/INFO]: Using epoll channel type
[02:37:35] [Server thread/INFO]: Preparing level "world"
[02:37:43] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[02:37:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:37:43] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:37:44] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:37:44] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[02:37:45] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[02:37:45] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[02:37:46] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[02:37:46] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[02:37:47] [Worker-Main-2/INFO]: Preparing spawn area: 2%
[02:37:47] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[02:37:48] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[02:37:48] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[02:37:49] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[02:37:49] [Worker-Main-2/INFO]: Preparing spawn area: 9%
[02:37:50] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[02:37:50] [Worker-Main-2/INFO]: Preparing spawn area: 11%
[02:37:51] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[02:37:51] [Worker-Main-2/INFO]: Preparing spawn area: 13%
[02:37:52] [Worker-Main-2/INFO]: Preparing spawn area: 15%
[02:37:52] [Worker-Main-2/INFO]: Preparing spawn area: 17%
[02:37:53] [Worker-Main-2/INFO]: Preparing spawn area: 17%
